Data di esecuzione: 2025-01-20 14:05:47
Versione: heatloss4

Section,Segment,Length,L_Progr,Qcd,Qcd_segment,Tf,Tmetal,Ti1,Ti2,Ts
0,0,0.0,0.0,684.0753938422819,0.0,350.0,349.81268133126247,179.1800652602676,103.2000670617901,103.1999999999984
0,0,2.0,2.0,684.0753938422819,1368.1507876845637,343.34328909127936,343.1559704225418,172.52335435154697,96.54335615306945,96.54328909127776
0,1,2.0,4.0,659.1025878871079,2686.3559634587796,336.92850245730534,336.7480220300954,168.47842647721097,94.48527797966324,94.48521336602437
0,2,2.0,6.0,635.4086811878445,3957.1733258344684,330.7433048833663,330.56931249987207,164.5934771184425,92.51486471691953,92.51480242605948
1,0,2.6666666666666665,8.666666666666666,613.6463140826055,1636.390170886948,322.80336988813735,322.6353366396616,158.7926962343882,88.56012516220522,88.56006500476985
1,1,2.6666666666666665,11.333333333333332,587.7207035783903,3203.645380429322,315.19720830866856,315.03627420582734,154.0988196687931,86.3938960364066,86.3938384205301
1,2,2.6666666666666665,13.999999999999998,563.351964244111,4705.917285080284,307.90487618870657,307.75061491732805,149.61364544762287,84.30772310697904,84.30766788003706
2,0,2.0,15.999999999999998,540.2292290915876,1080.4584581831753,302.6428683313339,302.49493870118283,147.1403606714923,84.13804510278317,84.1379921426265
2,1,2.0,18.0,524.0071169052883,2128.472691993752,297.53830836596,297.3948207965616,143.97478696579293,82.59549140448371,82.59544003462531
